イベントをスキップする	跳过事件
漢字なら任せてよっ	汉子的话，交给我了
そりゃ保険体育だよっ！	那是保健体育！
断然夏だっ！	显然是夏天!
……俺も春かな？	...我也是喜欢春天吧?
冬っていいぞっ	冬天真的很好
菓子パンにした	做了点心面包
フレンチのフルコースだよ	法国的全餐
女体盛りにしたんだ	做了女体盛
正しいと思うよ	我觉得是正确的
恋愛って面倒だよね	恋爱就是麻烦
大間違いかも	或许是个大错误
着るよっ着るって！	穿穿看穿穿看!
そういう重いものはぁ……	那么沉重的东西的话...
むしろ君を貰いたい	不如说你很想得到
ぱーっと使っちゃうだろうな	我浪费了这一切
「イルカモップ」にしようかな	使用「海豚拖把」吧
目を回す	忙得团团转（大惊失色）
温泉卓球だな	温泉乒乓球
名物料理だな	有名菜品啊
混浴だな	是混浴啊
頑張っている姿がいいよね	努力的姿态真是不错啊
……上手だよね	...做的很好嘛
覚えるのは早いよね	记得真快
ダブルのスーツとか格好いいよね	双排釦西装之类的真是帅啊
それ以前に清潔感があることが大事かな	在那之前拥有清洁感是非常重要的吧
……素肌に黒ストッキングとか？	...皮肤与黑丝之类的?
運命ってあるよね	命运是存在的吶
どうにもならないことってあるよね	无可奈何的事情也是存在的
カムバーック！　ってあるよね	回到原点的事情也是有的
……孤独かな	...孤独么
……まんじゅう	...包子
……借金しかないだろっ	...只能借钱了啊
豚肉のもやし炒め	猪肉炒豆芽
クリームシチュー	奶油炖菜
わかめ酒	海藻酒
……頼むよ	...拜托你了
……いや、いい	...不，蛮好的
……むしろこの後	...不如说在这以后
気にしすぎだよ	太过在意了
面倒くさいなぁ	真是麻烦啊啊
いや実は俺も……	不，其实我也...
幸せにならなきゃダメだよ	不幸福是不可以的
幸せにするよっ	我们来制造点幸福吧
幸せを見せてあげる	让你感受一下幸福
もー可愛いなぁっ	哦哦, 太可爱了
ドンドン感じてもいいんだよ	心蹦蹦跳的感觉也不错哦
むしろ攻守交代もありっ	不如说攻受交换也有
あぁ、いいとも	啊，也不错
それはちょっと	那个稍微有点...
俺がパパになるのかぁ	我成为爸爸了么...
これからは気をつけるよ	今后我会注意的
そんなものに対抗心を燃やすなんて	燃起了与之对抗的心情
君を撮ろうっ！	怕了你几张照片!
多少はね	多多少少
え、考えたこともなかった	恩，并没有考虑过
君はどうなの？	你是怎么样的？
デートにいくからついてこい	我要去个约会，你跟着一起来吧
自宅でデートなら問題ないよな	在自己家里的约会，完全没问题
俺の小動物を可愛がってくれっ	我的小动物真是让我觉得可爱啊
きれいな指先だな	漂亮的指尖啊
チラッと見える太股	若隐若现的绝对领域
ちょっと憂鬱そうな表情かな？	似乎带点忧郁的表情?
カレーの匂い	咖哩的香味
口紅の匂い	口红的味道
君の匂い	你的味道
眠れないときはホットミルク	睡不着的时候来一杯热牛奶
眠れないときはアロマテラピー	睡不着的时候试试芳香疗法
眠れないときは電話して	睡不着的话就打个电话
普通だと思うよ	我觉得很普通
君は変態だなぁ	你真是个变态
むしろ俺の方がナニでアレで	这没什么，你应该看到了我
ヘタをよく噛む	好好地舔一下阴蒂
よく舌を湿らせてからする	舌头充分湿润后在做
……やっぱいいや、俺が後で実戦で	...果然还是不行， 我之后再实战吧
そのままの服装で	就那样的服装
ウェディングドレスに着替える	换上结婚礼服
お互い尊敬されるような人になりたいね	我想成为一个人，如彼此尊重的
尊敬してる部分はあるよ	这是被尊重的一部分
むしろ俺を尊敬すべき	我宁愿自己被尊重
よし、流行らそう！	好吧，让我们普及​​吧！
バラードとかがいいのかな	民谣应该没问题
民謡を聞こう	听到民谣
ストレス社会だからね	正是由于社会压力
癒し系だね	很疗愈
ここのメイドの奉仕が一番の癒し	女仆的侍奉是最好的治疗
テニスかな	打网球
スキーかな	滑雪啦
アルティメット・タック・ボールかな！	终极网球!
豚ってデブじゃないよね	我不胖啊
豚って綺麗好きらしいね	我喜欢漂亮的你
このメスブタ！	这个婊子！
英語学習のコツは継続	妳应该继续学习英语
うまくなくても通じるみたいだよ	这是没有办法的，你应该能理解
Ｌｉｋｅ　ｍｅｌｏｎｓ	喜欢香瓜
夜桜もいいよね	夜间的樱花很美
桜の花言葉って知ってる？	你知道樱花的花语？?
桜の樹の下には死体が埋まっている	它是在樱花树下埋尸
乳製品って太らないの？	难道不是这些奶制品会让你胖吗？
チーズって溶かすとおいしいよね	融化的奶酪很美味
母乳ってマズイらしいね	看来我不好母乳
メイドたちの事に決まってる	决心是女仆很重要的因素
君の事に決まってる	这是你的决心
女の子なら誰でも！	它可以是任何女孩！
それじゃつまらなくない？	那么，这将是毫无意义？
それなら、今度一緒に出掛けよう	在这种情况下，我们应该出去一起
[HF]はダメだなぁ	你不能， [HF]
欲しい物をとにかく買う	我想买一些东​​西
旅行に行く	去旅游
札束風呂に入る！	我想跟你一起洗澡！
楽しそうだね	这听起来很有趣
今度一緒に行こう！	现在让我们一起去吧！!
旅行の見返りあるよね？	还不如我们一起去旅游旅，是吧?
[HF]って綺麗だよね	[HF]，很漂亮
本当のお姉ちゃんみたい	你看起来像一个大姐姐
やっぱりお母さんみたいな所	因为我以为，你看起来像一个母亲
ならメイドも天職じゃない？	女仆的职责是?
今は俺のお世話をしてくれてるしね	现在，有我对你的关心
世話はするよりされる方がいいなぁ	一定是会帮忙你的
それは――ど、どうだろうね？	这是不是正确的？
それは違う	这不是我的意思
それはそうだよね	确实如此
ホラー映画って普段見るの？	你会看恐怖电影吗？
幽霊にも優しく出来るってすごいね	如果鬼可以温柔，那将是很好的，呵呵
もし俺が幽霊になったら？	如果我变成鬼？
肉が食べたい！	我要吃肉！
やっぱり肉じゃが	毫无疑问，这是猪肉和土豆
裸エプロンがいい	裸体围裙很棒
もうからかわないから	不要取笑我
本当にごめん	我真的很抱歉
やっぱり続けて	我应该再继续
かけがえのない、大切な存在だよ	你是最重要的，不可替代
言葉じゃ言い表すことが出来ない	我无法用言语表达出来
メイドの中で一番サ！	你是最棒的女仆
ちがうちがう、ちょっと気になっただけ！	这不是我的意思，我只是注意到它！
……ごめん、今はまだ	……很抱歉，这对我来说，现在是不可能的
それはない	不会的
できれば毎晩	每天晚上
いつだって	总是
たまにでいいかな	偶尔就好
本当に本当だよ	我真的很肯定
死ぬまで愛し続けることを誓うよ	我承诺，我会一直爱你，直到我死
嘘だよ	这不是谎言
顧客のニーズに応えるため	为了满足客户的需求
新たなプレイを憶えるため	为了记住我们所有的回忆
次のメイドの選考基準にするため	下一个女仆的选择标准
少しだけでいいから	我不介意，如果只是一点点
見せつけたいと思うことはあるよ	我认为你需要炫耀
いやなら、別のメイドを用意するよ	没有别的用意，我只是问其他的女仆
ベタだね	这是?
その後は、おしゃれなバーかな	一个时尚的酒吧也许
げ、面倒くさそうだなぁ	这将是一面倒吧
別の方法を考える	想别的办法
[HF]を抱かせる	让人抱[HF]
省の提案を断る	拒绝省的提案
双頭バイブで一緒に気持ちよくなる	用双头振动一起变得心情舒畅
バイブで責める	用振动责备
二人の関係を一歩進展させる	进一步发展两个人的关系
いつも通りに、このまま……	和往常一样，就这样……
まだまだ苛める	还在欺负人
ここまでにしておく	到此为止
イナゴの佃煮	咸烹蝗虫
激辛料理	超辣料理
カビの生えたパン	发霉的面包
日曜朝のアニメ	周日早上的动画
深夜アニメ	深夜动画
国民的アニメ	国民动画
若手俳優の名前をそれとなく出してみる	委婉地说出年轻演员的名字
ここは引くべき	这里应该划一下
憧れの人の話を聞く	听仰慕之人的话
貯金する	储蓄
女の子にプレゼントを買う	给女孩子买礼物
また宝くじを買う	又买彩票
裁判官	法官
検察官	检察官
弁護士	律师
アウトドアにスポーツ	户外运动
インドアにゲーム	室内游戏
正直に言うと無趣味	老实说，我没兴趣
意外とマメなんだね	意外的是豆子啊
今は何をメモしてあるの？	现在在记什么？
オススメのメモ帳ってある？	有推荐的记事本吗？
朝のニュースの星座占いのコーナーは？	早上新闻里星座占卜的环节是？
タロット占いは？	塔罗牌占卜是？
手相は？	手相呢？
怖いのがダメ	不要害怕
辛い食べ物がダメ	不能吃辣的食物
